kategori;berita
valid;"""Gunung Agung erupsi untuk pertama kali pada 21 November 2017. Letusan terjadi pada pukul 17.05 Wita. Asap teramati bertekanan sedang dengan warna kelabu tebal dan dengan ketinggian maksimum sekitar 700 m di atas puncak. Abu letusan bertiup lemah ke arah Timur-Tenggara. Masyarakat diminta tetap tenang dan selalu mengikuti rekomendasi PVMBG. Gunung Agung yang terletak di Kabupaten Karangasem Provinsi Bali ini kembali erupsi pada Sabtu 25 November 2017 pukul 17.30 Wita. Abu bertekanan sedang setinggi 1.500 m keluar di atas puncak Gunung Agung. Ini merupakan erupsi kedua. Kepala Pusat Data Informasi dan Humas Badan Nasional Penanggulangan Bencana (BNPB) Sutopo Purwo Nugroho mengatakan, erupsi secara visual teramati dari daerah Culik dan Batulompeh ke arah Barat- Barat daya, asap kelabu-kehitaman tekanan sedang. Dia menuturkan, status Gunung Agung tetap Siaga (level 3). Hingga kemudian, Pusat Vulkanologi dan Mitigasi Bencana Geologi (PVMBG) menaikkan status Gunung Agung dari Siaga atau level 3 menjadi Awas atau level 4 pada Senin 27 November 2017. Jumlah pengungsi akibat erupsi Gunung Agung, mencapai 10.950 jiwa. Mereka berasal dari wilayah yang masuk zona berbahaya. Aktivitas Gunung Agung di Bali yang terus meningkat mengakibatkan Bandara I Gusti Ngurah Rai ditutup. Communication and Legal Section Bandara I Gusti Ngurah Rai, Arie Ahsanurrohim, mengonfirmasi penutupan bandara berlaku selama 24 jam.‎ ""Berdasarkan Notam, bandara ditutup pukul 07.15 Wita hingga pukul 07.15 Wita esok hari nanti. Penutupan mulai pagi hari ini sampai esok hari. Dengan kata lain 24 jam,"" kata Arie, Senin 27 November 2017. Menurut dia, penutupan bandara itu oleh karena abu vulkanik Gunung Agung telah menutup air space di bandara hingga dua level. Imbasnya, penerbangan domestik dan luar negeri pun terganggu, ada yang ditunda dan dibatalkan. Akibat penutupan ini, sejumlah penerbangan juga dialihkan pendaratannya ke bandara-bandara terdekat. Seperti Juanda, Makassar, Lombok, dan Kupang. Gunung Agung terus erupsi berulang kali hingga akhirnya, status tanggap darurat Gunung Agung dicabut. Keputusan itu diambil dalam rapat terbatas yang dipimpin langsung Presiden Joko Widodo atau Jokowi di Wisma Wedhapura Sanur, Denpasar, Bali pada Jumat 22 Desember 2017. Jokowi pun memaparkan alasan pencabutan status darurat bencana Gunung Agung itu. ""Karena sudah tidak diperlukan lagi,"" kata Presiden, Jumat malam. Kendati begitu, dia menjamin pengungsi tetap akan ditangani dengan baik. Hal-hal yang berkaitan dengan bencana erupsi Gunung Agung sudah disiapkan dengan baik. ""Pengungsi tetap ditangani dengan baik. Proses-proses yang berkaitan dengan Gunung Agung nanti jika dilihat akan erupsi, step-step manajemen evakuasi sudah disiapkan. Keselamatan tetap utama,"" ujar Jokowi.  Presiden Jokowi menegaskan, status Gunung Agung masih Awas atau berada di Level IV. Radius zona bahaya berada 8-10 kilometer dari puncak kawah Gunung Agung. ""Jangan sampai di-image-kan seluruh Bali (berstatus Awas),"" kata dia. Tak lama setelah pencabutan status, Gunung Agung meletus lagi pada Sabtu 23 Desember sore dan Minggu 24 Desember pagi pukul 10.05 Wita, dengan mengeluarkan asap kelabu tebal. Tinggi kolom abu vulkanik sekitar 2.500 meter di atas puncak kawah mengarah ke timur laut. Kepala Pusat Data Informasi dan Humas Badan Nasional Penanggulangan Bencana (BNPB) Sutopo Purwo Nugroho mengatakan erupsi hanya berlangsung sesaat, sekitar 10 menit. Namun, dua erupsi terakhir menurut dia tak perlu dikhawatirkan. ""Tidak ada dampak merusak dari kedua erupsi tersebut. Aktivitas masyarakat di Bali normal. Justru banyak masyarakat di sekitar Bali menikmati erupsi. Tidak ada kepanikan di masyarakat. Saat ini masyarakat sudah teredukasi dengan cukup baik mengenai erupsi dan ancaman dari Gunung Agung,"" ujar Sutopo dalam keterangan tertulis yang diterima Liputan6.com, Minggu 24 Desember 2017."""
valid;"""Jakarta, CNN Indonesia -- Menteri BUMN Erick Thohir resmi menunjuk Basuki Tjahaja Purnama alias Ahok sebagai Komisaris Utama PT Pertamina (Persero). ""Basuki Tjahaja Purnama Komisaris Utama di Pertamina. Didampingi oleh pak Wamen BUMN Budi Gunadi Sadikin jadi Wakil Komisaris Utama di Pertamina,"" ujarnya, Jumat (22/11). Selain dua nama di atas, Erick juga menyodorkan Emma Sri Martini, eks direktur utama Telkomsel. Emma ditunjuk menjadi Direktur Keuangan Pertamina menggantikan Pahala Nugraha Mansury. Pergantian Pahala di Pertamina, sambung Erick, berkaitan dengan tugas barunya di PT Bank Tabungan Negara (Persero) Tbk. Pahala akan dibantu oleh Chandra Hamzah sebagai Komisaris Utama BTN. Erick mengklaim nama-nama tersebut di atas sudah melalui Tim Penilai Akhir (TPA). ""Saya hanya menyebutkan yang sudah melalui TPA. Yang tidak melalui TPA, saya tidak bisa komentar,"" tegas dia. Nama-nama pejabat baru Pertamina tersebut akan dilakukan segera pada Jumat ini atau paling lambat Senin (25/11). ""Pertamina bukan Tbk, jadi bisa disegerakan hari ini atau Senin,"" terang Erick.Sementara, pergantian pejabat BTN akan segera dilakukan melalui Rapat Umum Pemegang Saham (RUPS) pada akhir bulan ini."""
valid;"""Dosen Fakultas Kedokteran Hewan IPB, Yusuf Ridwan, menyatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama. Sebelumnya, Pusat Data dan Informasi Persatuan Rumah Sakit Seluruh Indonesia (PERSSI) dan Badan Pengawas Obat dan Makanan (BPOM) sudah mengeluarkan peringatan agar masyarakat tidak menggunakan tas kresek berwarna untuk membungkus makanan siap santap."""
valid;"""Jakarta - Dua anggota TNI, Serda N dan Serda DA, ditusuk orang tak dikenal saat terlibat keributan di tempat biliar di Jalan Raya Bogor KM 30, Cimanggis, Depok. Akibat kejadian itu, Serda N dan Serda DA harus dirawat di RSPAD Gatot Subroto.

""Ya benar, memang telah terjadi penusukan kepada anggota Kodam Jaya,"" kata Kapendam Jaya Kolonel (Inf) Kristomei Sianturi kepada detikcom, Jumat (8/6/2018).

Kristomei menjelaskan peristiwa itu terjadi pada Kamis (7/6) pukul 03.30 WIB. Dua anggota TNI itu mengalami luka tusuk di bagian perut.

""Luka tusuk perut bagian kiri yang Serda DA, kemudian Serda N luka tusuk bagian kanan dan itu dibawa ke RSPAD,"" jelas dia.

Kristomei belum menjelaskan soal detail keributan yang terjadi di tempat biliar itu. Dia akan berkoordinasi dengan pihak kepolisian untuk mencari penyebab kejadian dan pelaku penusukan.

""Itu kita lagi telusuri apa penyebabnya, saksi-saksi sedang diselidiki oleh pihak kepolisian, apa sih yang menyebabkan perkelahian itu, siapa saja saksinya dan dari mana, harus kita kejar orangnya, pelakunya,"" imbuh dia."""
valid;"""Akui Tembak Jatuh Pesawat Ukraina, Iran Tuai Gelombang Protes"""
valid;"""Jakarta, CNN Indonesia -- Ratusan pedemo berunjuk rasa di Ibu Kota Teheran memprotes keteledoran militer Iran yang telah menembak jatuh pesawat komersial Ukraina secara tak sengaja hingga menewaskan seluruh 176 penumpang. Protes selama akhir pekan lalu itu dilaporkan diikuti ratusan pedemo terutama kelompok pelajar. Video yang tersebar di media sosial menunjukkan para pedemo berkumpul di alun-alun Azadi di pusat kota sambil meneriakkan slogan-slogan anti-pemerintah Iran. Bentrokan antara pedemo dan aparat keamanan juga dikabarkan tak terelakkan. Video yang tersebar di media sosial bahkan menunjukkan aparat keamanan menembakkan gas air mata hingga peluru hidup untuk meredam para pemrotes. ""Mereka (pemerintah) telah berbohong bahwa musuh kami adalah Amerika! Musuh kami yang sebenarnya ada di sini,"" teriak para pedemo. Video yang didapat Associated Press menunjukkan kerumunan demonstran berhamburan melarikan diri dari Azadi Square ketika tabung gas air mata dilemparkan ke arah mereka. Sambil terisak-isak dan batuk, para pedemo berupaya menghindari asap.  ""Mereka menembakkan gas air mata ke orang-orang! Alun-alun Azadi! Kematian bagi diktaktor!"" kata seorang wanita dalam video itu menggunakan bahasa Farsi. Sejumlah foto dan video lainnya memperlihatkan genangan darah berlumuran di beberapa bagian trotoar. Unjuk rasa tersebut berlangsung setelah Korps Garda Revolusi atau angkatan bersenjata Iran mengakui telah menembak jatuh Ukraine International Airlines akibat human error pada pekan lalu. Kepolisian Iran menampik bahwa aparatnya telah bertindak represif dalam meredam unjuk rasa. Kepala Polisi Teheran, Jenderal Hossein Rahimi, membantah bahwa aparatnya menggunakan senjata dan melepaskan tembakan selama menangani demo."""
valid;"""Komandan ISIS Afrika Tewas karena Serangan Udara"""
valid;"""Jakarta, CNN Indonesia -- Pasukan gabungan Afrika dilaporkan berhasil menewaskan tokoh ISIS Afrika Barat, Amir Khalifa Umar. Dia disebut sebagai salah satu pentolan kelompok teror tersebut yang dicari-cari sejak lama. Seperti dilansir Associated Press, Senin (13/1), menurut Kepala Penerangan Satuan Tugas Gabungan Multinasional Afrika, Kolonel Timothy Antigha, Umar tewas dalam serangan udara yang menargetkan sebuah lokasi persembunyian ISIS Afrika Barat di Tunbums Sabon, dekat Danau Chad. ""Kami menggelar operasi terhadap ISIS Afrika Barat dan pengikutnya yang melakukan kekerasan di Basin Danau Chad,"" kata Antigha. Antigha mengatakan, Umar disebut sebagai orang yang menduduki posisi ketiga terkuat di kelompok tersebut. Dia mengatakan tiga tokoh ISIS Afrika Barat juga meninggal dalam serangan udara terpisah. Pasukan Gabungan Afrika terdiri dari Benin, Kamerun, Chad, Niger dan Nigeria. Mereka berusaha menumpas kelompok ekstremis Boko Haram di Nigeria dan ISIS Afrika Barat di sekitar Danau Chad."""
valid;"""Jakarta, CNN Indonesia -- Katib Aam Pengurus Besar Nahdlatul Ulama (PBNU) Yahya Cholil Staquf dijadwalkan hadir sebagai pembicara dalam pertemuan tingkat tinggi agama-agama Ibrahim di Vatikan, 14-17 Januari 2020. Yahya Cholil menjadi salah satu dari enam tokoh wakil dunia Islam yang diundang untuk memberikan kontribusi pemikiran tentang gerakan bersama untuk perdamaian dunia. ""Sebenarnya ini undangan kedua ke Vatikan sejak saya bertemu Paus bulan September tahun lalu,"" kata Gus Yahya dalam keterangan tertulis, Senin (13/1). Menurut Gus Yahya, pertemuan kali ini diinisiasi oleh ""Multi-Faith Neighbours Network"", Jaringan Tetangga Antaragama, sebuah organisasi Amerika yang diawaki oleh Imam Mohamed Magid, Imam Eksekutif All Dulles Area Muslim Society Center (Pusat Komunitas Muslim Wilayah Dulles) di Sterling, Virginia, Amerika Serikat. Selain itu, ada Pastor Bob Roberts, pendiri Gereja Northwood di Keller, Texas, AS; dan Rabbi David Saperstein, Presiden World Union for Progressive Judaism (Perserikatan Yahudi Progresif Seluruh Dunia). ""Tokoh-tokoh dari tiga agama Ibrahim (Islam, Kristen, dan Yahudi) akan bertemu dan bermusyawarah untuk membangun gerakan bersama bagi perdamaian,"" ujar Gus Yahya, yang juga Duta Gerakan Pemuda Ansor untuk Dunia Islam. Masing-masing agama akan diwakili enam tokoh. Dari kalangan Islam, selain KH Yahya Cholil Staquf, akan hadir Syaikh Abdul Karim Khasawneh, Grand Mufti Yordania; Syaikh Abdullah Bin Bayah dari Dewan Fatwa Uni Emirat Arab; Sayyed Yousif Al Khoei, Direktur Pusat Studi Akademik Syiah di Inggris; Imam Hassan Qazwini dari Institut Islam Amerika di Michigan; dan Ingrid Mattson, profesor dari University of Western Ontario, Kanada. Sedangkan kalangan Kristen diwakili antara lain Kardinal Miguel Angel Ayuso Guixot, Presiden Pontifical Council for Interreligious Dialogue (Dewan Kepausan untuk Dialog Antaragama) dan PThomas K. Johnson, Duta Besar World Evangelical Alliance untuk Vatikan dan untuk Humanitarian Islam. Yahudi diwakili Chief Rabbi David Rosen, Direktur Internasional untuk Masalah-masalah Agama dari American Jewish Committee beserta sejumlah Rabbi senior dari Amerika, DAN Italia. Penyelenggara menyatakan bahwa partisipasi Gus Yahya dalam Pertemuan Tingkat Tinggi ini mutlak diperlukan. Dalam surat undangan kepada Gus Yahya, Pastor Bob Roberts atas nama Multi-Faith Neighbours Network mengatakan, ""Kepemimpinan Anda yang mendunia dalam Humanitarian Islam dan kegigihan Anda untuk mewujudkan tindakan-tindakan nyata akan sangat memperkaya Abrahamic Faiths Initiative serta implementasi dan dampak global."" Gus Yahya sendiri akan membawa wawasan-wawasan tentang cita-cita peradaban mulia yang terkandung dalam pembukaan UUD 1945, beserta rencana-rencana strategis yang telah dibangun di lingkungan Nahdlatul Ulama.

""Dialog antaragama tidak boleh lagi hanya berhenti dengan bertukar kata-kata manis dari kutipan-kutipan kitab suci dan pernyataan tokoh-tokoh suci. Sudah terlalu lama umat manusia menunggu para tokoh agama bicara sejujur-jujurnya tentang masalah yang sedang menimpa umat manusia dewasa ini, termasuk permusuhan dan konflik yang bengis di antara kelompok berbeda agama,"" kata mantan Anggota Dewan Pertimbangan Presiden ini."""
valid;"""Jakarta, CNN Indonesia -- Pemerintah Sri Lanka memberlakukan kembali jam malam dan larangan terhadap penggunaan platform media sosial. Hal itu dilakukan sebagai upaya untuk menghentikan penyebaran rumor, setelah bentrokan terjadi antara kelompok-kelompok warga sipil di Negombo. Jam malam diberlakukan di daerah Negombo sampai pukul 7 pagi waktu setempat. Negombo merupakan wilayah utara ibukota negara yang juga menjadi tempat salah satu pemboman saat Minggu Paskah lalu. Pemboman oleh militan Islam yang menewaskan lebih dari 250 orang itu telah menimbulkan kekhawatiran bahwa Muslim bisa menjadi sasaran kekerasan komunal. Dalam pemberitaan sebelumnya, Presiden Sri Lanka Maithripala Sirisena telah memberlakukan larangan bagi dua kelompok Islam yang dicurigai berada di balik rencana pemboman pada Minggu Paskah di Sri Lanka. Kedua kelompok itu ialah National Thawheedh Jamaath (NTJ) dan Jamathei Millathu Ibrahim (JMI). Larangan aktivitas kedua kelompok itu berlaku dibawah peraturan darurat yang mulai berlaku sepekan setelah peristiwa bom Paskah. Para pejabat keamanan mengatakan NTJ dicurigai sebagai kelompok utama yang melakukan serangan."""
